k, n, w, order, insertion, removal
2, 10240, 32, random, 246644, 1249651
2, 10240, 32, reverse, 102392, 1250779
2, 10240, 32, sorted, 1304741, 1243302
2, 12288, 32, random, 295858, 1536384
2, 12288, 32, reverse, 122872, 1535137
2, 12288, 32, sorted, 1601701, 1527974
2, 14336, 32, random, 347437, 1826231
2, 14336, 32, reverse, 143352, 1829549
2, 14336, 32, sorted, 1898661, 1812646
2, 16384, 32, random, 396033, 2117747
2, 16384, 32, reverse, 163832, 2121801
2, 16384, 32, sorted, 2195632, 2097329
2, 4096, 32, random, 99469, 439163
2, 4096, 32, reverse, 40952, 440551
2, 4096, 32, sorted, 458906, 434331
2, 6144, 32, random, 146937, 700983
2, 6144, 32, reverse, 61432, 699291
2, 6144, 32, sorted, 733338, 696475
2, 8192, 32, random, 198053, 968456
2, 8192, 32, reverse, 81912, 969979
2, 8192, 32, sorted, 1007781, 958630
4, 10240, 32, random, 179981, 735070
4, 10240, 32, reverse, 112631, 732310
4, 10240, 32, sorted, 793292, 749773
4, 12288, 32, random, 215748, 902983
4, 12288, 32, reverse, 135159, 903502
4, 12288, 32, sorted, 969420, 917197
4, 14336, 32, random, 251395, 1072033
4, 14336, 32, reverse, 157687, 1081507
4, 14336, 32, sorted, 1145548, 1084621
4, 16384, 32, random, 289271, 1240645
4, 16384, 32, reverse, 180215, 1259533
4, 16384, 32, sorted, 1321676, 1252045
4, 4096, 32, random, 72869, 261073
4, 4096, 32, reverse, 45047, 266008
4, 4096, 32, sorted, 281288, 263881
4, 6144, 32, random, 106527, 411553
4, 6144, 32, reverse, 67575, 418732
4, 6144, 32, sorted, 441036, 414925
4, 8192, 32, random, 143659, 570580
4, 8192, 32, reverse, 90103, 575125
4, 8192, 32, sorted, 617164, 582349
8, 10240, 32, random, 161457, 561596
8, 10240, 32, reverse, 122870, 557417
8, 10240, 32, sorted, 616543, 583264
8, 12288, 32, random, 195657, 689731
8, 12288, 32, reverse, 147446, 695577
8, 12288, 32, sorted, 753759, 713824
8, 14336, 32, random, 228050, 820246
8, 14336, 32, reverse, 172022, 834353
8, 14336, 32, sorted, 890975, 844384
8, 16384, 32, random, 260959, 949727
8, 16384, 32, reverse, 196598, 973349
8, 16384, 32, sorted, 1028191, 974944
